천지갑산 사과,http://kilanapple.co.kr/,개인,경상북도,안동시,과채류,사과
해맑은사과,http://goodap.com/,개인,경상북도,안동시,곡류,사과
장암농원,http://jangam.farmmoa.com/,개인,경상북도,안동시,과일류,사과
그루터기,http://stump.farmmoa.com/,개인,경상북도,안동시,육류,사과
신기농장,http://singinong.com/,개인,경상북도,안동시,버섯류,사과
해토랑,http://haetorang.com/,개인,경상북도,안동시,과채류,사과
류충현 약용버섯,http://mushroom.co.kr/,개인,경상북도,안동시,곡류,송이버섯
참뿌리농원,http://www.chamburi.co.kr/,,경상북도,구미시,과일류,청국장
복숭아나라,http://www.peachnara.co.kr/,,경상북도,구미시,버섯류,복숭아
찹쌀보리,http://www.cboli.co.kr/,,경상북도,구미시,육류,보리
옥성원예,http://new.hi-farm.com/store/d04010/,,경상북도,구미시,버섯류,꽃
산촌토종농원,http://new.hi-farm.com/store/a00155/,,경상북도,구미시,과채류,벌꿀
옥성정성곶감,http://www.okseonggam.com/,,경상북도,구미시,곡류,곶감
곰실농원,http://www.gomsil.co.kr/,,경상북도,구미시,과일류,표고버섯
천생농원,http://cheonsaengberry.com/,,경상북도,구미시,버섯류,블루베리
친환경오뚜기농장,http://new.hi-farm.com/store/b00055,,경상북도,구미시,과채류,토마토
진호농장,http://www.jinhofarm.co.kr/,,경상북도,구미시,곡류,참외
상상농원,http://www.ilteo.net/,,경상북도,구미시,과일류,토마토
선산선인장농원,http://new.hi-farm.com/store/d00024,,경상북도,구미시,육류,선인장
백두대간농장,http://www.baekdufarm.com/,,경상북도,구미시,버섯류,약초
미진농원,http://www.mijinfarm.kr/,,경상북도,구미시,과채류,사과
금호산인삼연구회,http://ginsengok.com/,,경상북도,구미시,버섯류,인삼제품
가이아농원,http://www.gaiafarm.co.kr/,,경상북도,구미시,과일류,꽃
옥동자농장,http://blog.naver.com/woogine2000,,경상북도,영주시,육류,사과
영주꿀사과,http://cafe.daum.net/appleandhoney,,경상북도,영주시,버섯류,사과
장서방내,http://blog.daum.net/1402apple,,경상북도,영주시,곡류,사과
소백인삼영농조합,http://www.sbkmall.com/,,경상북도,영주시,과일류,인삼제품
소백향기,http://blog.naver.com/sogbog,,경상북도,영주시,곡류,약초
무농약인삼,http://cafe.daum.net/sujun3407,,경상북도,영주시,과일류,인삼제품
행복한 수달래,http://blog.naver.com/xntnektlf,,경상북도,영주시,곡류,약초
옥동농원,http://blog.naver.com/me3225,,경상북도,영주시,과일류,사과
선비촌참느타리버섯,http://blog.naver.com/chamneutari,,경상북도,영주시,육류,느타리버섯
한우리,http://blog.naver.com/k6368433,,경상북도,영주시,버섯류,소고기
참좋은사과,http://blog.naver.com/asfamily46,,경상북도,영주시,과채류,사과
부석사옆사과농장,http://blog.naver.com/gogoxogh,,경상북도,영주시,곡류,사과
사과농원,http://blog.naver.com/applepark53,,경상북도,영주시,육류,사과
소백산 산사과 꿀복숭아,http://blog.naver.com/ads5203,,경상북도,영주시,버섯류,복숭아
덕풍농장,http://blog.naver.com/dhtkarb,,경상북도,영주시,과채류,소고기
홍삼마을,http://blog.naver.com/leekh901,,경상북도,영주시,곡류,인삼제품
고령몰,http://www.grmall.co.kr/ ,,경상북도,고령군,과일류,기타
성주장산꿈마을,http://dream.invil.org/,,경상북도,성주군,과채류,참외
